PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.6286286286286287,0.999999999997174,0.9999999998292286,0.9998715195977632
0.6306306306306306,0.9999999999975182,0.9999999998528946,0.99988365100805
0.6326326326326326,0.9999999999978203,0.999999999873287,0.9998946677186601
0.6346346346346347,0.9999999999980855,0.9999999998908577,0.9999046688198275
0.6366366366366366,0.9999999999983183,0.9999999999059962,0.999913744949969
0.6386386386386387,0.9999999999985227,0.9999999999190385,0.9999219789788865
0.6406406406406406,0.9999999999987021,0.9999999999302742,0.9999294466396809
0.6426426426426426,0.9999999999988597,0.999999999939953,0.9999362171128189
0.6446446446446447,0.999999999998998,0.9999999999482903,0.999942353565606
0.6466466466466466,0.9999999999991195,0.9999999999554715,0.9999479136501359
0.6486486486486487,0.9999999999992262,0.9999999999616568,0.9999529499626109
0.6506506506506506,0.9999999999993199,0.9999999999669841,0.9999575104667577
0.6526526526526526,0.9999999999994021,0.999999999971572,0.9999616388838977
0.6546546546546547,0.9999999999994744,0.9999999999755231,0.9999653750520769
0.6566566566566566,0.999999999999538,0.9999999999789257,0.9999687552565084
0.6586586586586587,0.9999999999995938,0.9999999999818558,0.9999718125334387
0.6606606606606606,0.9999999999996428,0.9999999999843788,0.9999745769494115
0.6626626626626626,0.9999999999996859,0.9999999999865514,0.9999770758577753
0.6646646646646647,0.9999999999997238,0.999999999988422,0.9999793341341549
0.6666666666666666,0.9999999999997571,0.9999999999900328,0.9999813743924948
0.6686686686686687,0.9999999999997863,0.9999999999914194,0.9999832171831688
0.6706706706706707,0.999999999999812,0.9999999999926134,0.9999848811745483
0.6726726726726726,0.9999999999998347,0.9999999999936413,0.9999863833193237
0.6746746746746747,0.9999999999998546,0.9999999999945263,0.999987739006781
0.6766766766766766,0.999999999999872,0.9999999999952881,0.9999889622021492
0.6786786786786787,0.9999999999998873,0.999999999995944,0.9999900655740543
0.6806806806806807,0.9999999999999009,0.9999999999965086,0.999991060611036
0.6826826826826827,0.9999999999999127,0.9999999999969946,0.9999919577280171
0.6846846846846847,0.9999999999999232,0.9999999999974131,0.9999927663635445
0.6866866866866866,0.9999999999999324,0.9999999999977732,0.9999934950685633
0.6886886886886887,0.9999999999999405,0.9999999999980832,0.9999941515874198
0.6906906906906907,0.9999999999999476,0.9999999999983501,0.9999947429317461
0.6926926926926927,0.9999999999999538,0.9999999999985798,0.9999952754478181
0.6946946946946947,0.9999999999999594,0.9999999999987775,0.999995754877939
0.6966966966966966,0.9999999999999643,0.9999999999989477,0.9999961864163539
0.6986986986986987,0.9999999999999685,0.9999999999990943,0.9999965747601609
0.7007007007007007,0.9999999999999722,0.9999999999992204,0.9999969241556491
0.7027027027027027,0.9999999999999756,0.9999999999993289,0.9999972384404546
0.7047047047047047,0.9999999999999785,0.9999999999994224,0.9999975210818995
0.7067067067067067,0.999999999999981,0.9999999999995027,0.9999977752118432
0.7087087087087087,0.9999999999999832,0.999999999999572,0.9999980036583535
0.7107107107107107,0.9999999999999852,0.9999999999996316,0.9999982089744744
0.7127127127127127,0.999999999999987,0.9999999999996828,0.9999983934643495
0.7147147147147147,0.9999999999999886,0.999999999999727,0.9999985592069326
0.7167167167167167,0.9999999999999899,0.999999999999765,0.9999987080775032
0.7187187187187187,0.9999999999999911,0.9999999999997977,0.9999988417671812
0.7207207207207207,0.9999999999999921,0.9999999999998258,0.9999989618006218
0.7227227227227228,0.9999999999999931,0.9999999999998501,0.9999990695520538
0.7247247247247247,0.9999999999999939,0.999999999999871,0.9999991662598124
0.7267267267267267,0.9999999999999947,0.9999999999998889,0.9999992530395038
0.7287287287287287,0.9999999999999952,0.9999999999999044,0.9999993308959234
0.7307307307307307,0.9999999999999958,0.9999999999999176,0.9999994007338469
0.7327327327327328,0.9999999999999963,0.9999999999999292,0.9999994633677933
0.7347347347347347,0.9999999999999968,0.9999999999999389,0.9999995195308584
0.7367367367367368,0.9999999999999971,0.9999999999999475,0.9999995698827018
0.7387387387387387,0.9999999999999974,0.9999999999999548,0.9999996150167689
0.7407407407407407,0.9999999999999978,0.999999999999961,0.9999996554668178
0.7427427427427428,0.999999999999998,0.9999999999999665,0.9999996917128162
0.7447447447447447,0.9999999999999982,0.9999999999999711,0.9999997241862685
